hash,Echo Date,Echo Time,Echo Title,Echo Duration (Minutes),Average Completion,Total Minutes Viewed,Minutes Viewed Live,Minutes Viewed VOD,Discussion Threads Started,Bookmarks,Last Opened,Last Opened Time,Participated Live,Downloads
872b7d573c52a73896be9c0ea6bdc6b3,24/07/2017,2:01:46 AM,CAB202 2017-02 Lecture 1,99,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,31/07/2017,2:00:01 AM,CAB202 Semester 2 2017  Topic 2,100,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,7/08/2017,1:58:37 AM,CAb202 2017-02 Topic 3,98,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,14/08/2017,2:01:13 AM,CAB202 2017 Semester 2 Topic 4: Functions,99,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,21/08/2017,2:02:37 AM,CAB202 2017 Semester 2 Topic 5 - Arrays,99,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,21/08/2017,2:59:38 AM,CAB202 - Topic 5 Tutorial Introduction,6,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,28/08/2017,1:59:10 AM,CAB202 2017 Semester 2 Topic 6 - Pointers,99,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,4/09/2017,1:59:32 AM,CAB202 Semester 2 2017 - topic 7 -- Teensy,105,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,4/09/2017,3:05:00 AM,CAB202: Intro to Teensy Tutorial,9,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,11/09/2017,2:07:43 AM,CAB202 2017_02 Topic 8 LCD,94,15,16,0,16,0,0,43013,0.01869213,0,0
872b7d573c52a73896be9c0ea6bdc6b3,11/09/2017,3:03:04 AM,CAB202 - Tutorial 8 Intro,10,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,18/09/2017,2:00:41 AM,CAb2022017-02 Topic 09 Assignment 2 + Debouncing + Timers,100,19,18,0,18,0,0,43013,0.156145833,0,0
872b7d573c52a73896be9c0ea6bdc6b3,18/09/2017,2:57:55 AM,CAB202 - Tutorial 9 - LCD Introduction,19,0,1,0,1,0,0,43013,0.410729167,0,0
872b7d573c52a73896be9c0ea6bdc6b3,22/09/2017,4:03:07 AM,CAB202 - Tutorial 9 Intro: LCD (Take 2),21,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,2/10/2017,3:00:17 AM,CAB202 Tutorial 10 - Introduction,26,15,4,0,4,0,0,43013,0.152569444,0,0
872b7d573c52a73896be9c0ea6bdc6b3,6/10/2017,4:01:18 AM,CAB202 - Topic 10 Intro (take 2),26,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,9/10/2017,2:05:48 AM,CAB202 Topic 10 Serial Communications,100,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,9/10/2017,2:37:25 AM,CAB202 - Topic 10 Intro,13,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,16/10/2017,2:01:04 AM,CAB202 2017 Semester 2 Topic 11 ADC  PWM  Assignment Q+A,102,0,0,0,0,0,0,0,0,,
872b7d573c52a73896be9c0ea6bdc6b3,23/10/2017,2:00:29 AM,CAB202 Lecture 13,67,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,24/07/2017,2:01:46 AM,CAB202 2017-02 Lecture 1,99,64,55,0,55,0,0,43045,0.070578704,0,0
54d001105729d32c90e5ce47012df6ca,31/07/2017,2:00:01 AM,CAB202 Semester 2 2017  Topic 2,100,65,84,0,84,0,0,42983,0.163900463,0,0
54d001105729d32c90e5ce47012df6ca,7/08/2017,1:58:37 AM,CAb202 2017-02 Topic 3,98,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,14/08/2017,2:01:13 AM,CAB202 2017 Semester 2 Topic 4: Functions,99,4,4,0,4,0,0,42983,0.124965278,0,0
54d001105729d32c90e5ce47012df6ca,21/08/2017,2:02:37 AM,CAB202 2017 Semester 2 Topic 5 - Arrays,99,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,21/08/2017,2:59:38 AM,CAB202 - Topic 5 Tutorial Introduction,6,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,28/08/2017,1:59:10 AM,CAB202 2017 Semester 2 Topic 6 - Pointers,99,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,4/09/2017,1:59:32 AM,CAB202 Semester 2 2017 - topic 7 -- Teensy,105,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,4/09/2017,3:05:00 AM,CAB202: Intro to Teensy Tutorial,9,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,11/09/2017,2:07:43 AM,CAB202 2017_02 Topic 8 LCD,94,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,11/09/2017,3:03:04 AM,CAB202 - Tutorial 8 Intro,10,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,18/09/2017,2:00:41 AM,CAb2022017-02 Topic 09 Assignment 2 + Debouncing + Timers,100,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,18/09/2017,2:57:55 AM,CAB202 - Tutorial 9 - LCD Introduction,19,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,22/09/2017,4:03:07 AM,CAB202 - Tutorial 9 Intro: LCD (Take 2),21,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,2/10/2017,3:00:17 AM,CAB202 Tutorial 10 - Introduction,26,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,6/10/2017,4:01:18 AM,CAB202 - Topic 10 Intro (take 2),26,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,9/10/2017,2:05:48 AM,CAB202 Topic 10 Serial Communications,100,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,9/10/2017,2:37:25 AM,CAB202 - Topic 10 Intro,13,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,16/10/2017,2:01:04 AM,CAB202 2017 Semester 2 Topic 11 ADC  PWM  Assignment Q+A,102,0,0,0,0,0,0,0,0,,
54d001105729d32c90e5ce47012df6ca,23/10/2017,2:00:29 AM,CAB202 Lecture 13,67,0,0,0,0,0,0,0,0,,
ae595039b3670d1c67faa074b0aa05fc,24/07/2017,2:01:46 AM,CAB202 2017-02 Lecture 1,99,0,0,0,0,0,0,0,0,,
